method,metric,value
mobj,IM2,0.00024959859981832014
mobj,target valid,1.0
mobj,continuous proximity,0.0969343694644996
mobj,causal validity,0.4375
mobj,IM1,0.022138291460719342
mobj,IM2,0.000334168849696815
mobj,target valid,1.0
mobj,continuous proximity,0.09675001008162712
mobj,causal validity,0.43448275862068964
mobj,IM1,0.01678681898249932
mobj,IM2,0.00025513724232202465
mobj,target valid,1.0
mobj,continuous proximity,0.09662352893034822
mobj,causal validity,0.4315068493150685
mobj,IM1,0.01698550670373514
mobj,IM2,0.0005747396982433046
mobj,target valid,1.0
mobj,continuous proximity,0.09643008934530241
mobj,causal validity,0.43537414965986393
mobj,IM1,0.01727746638025644
mobj,IM2,0.0003160660990073626
mobj,target valid,1.0
mobj,continuous proximity,0.09641616765637256
mobj,causal validity,0.43243243243243246
mobj,IM1,0.03097652777407532
mobj,IM2,0.00030969979892928615
mobj,target valid,1.0
mobj,continuous proximity,0.09641437487454937
mobj,causal validity,0.42953020134228187
mobj,IM1,0.02222943730496601
mobj,IM2,0.00028336413106198123
mobj,target valid,1.0
mobj,continuous proximity,0.09654346488239719
mobj,causal validity,0.4266666666666667
mobj,IM1,0.02316478418350273
mobj,IM2,0.00038589196897323197
mobj,target valid,1.0
mobj,continuous proximity,0.09653158153491719
mobj,causal validity,0.423841059602649
mobj,IM1,0.01930746071974887
mobj,IM2,0.0007929174909953726
mobj,target valid,1.0
mobj,continuous proximity,0.0964637561353876
mobj,causal validity,0.4276315789473684
mobj,IM1,0.01859445566716622
mobj,IM2,0.0006052211828732945
mobj,target valid,1.0
mobj,continuous proximity,0.096632196312217
mobj,causal validity,0.42483660130718953
mobj,IM1,0.02105927723581227
mobj,IM2,0.0003225720687077836
mobj,target valid,1.0
mobj,continuous proximity,0.09657654703450652
mobj,causal validity,0.42857142857142855
mobj,IM1,0.023657311802288822
mobj,IM2,0.0003044598561094619
mobj,target valid,1.0
mobj,continuous proximity,0.09671699477282727
mobj,causal validity,0.432258064516129
mobj,IM1,0.019117168600731423
mobj,IM2,0.0002991146281612416
mobj,target valid,1.0
mobj,continuous proximity,0.09655694406121006
mobj,causal validity,0.42948717948717946
mobj,IM1,0.018400260686476308
mobj,IM2,0.0004697064717566907
mobj,target valid,1.0
mobj,continuous proximity,0.09643529529465088
mobj,causal validity,0.4267515923566879
mobj,IM1,0.02176499264939507
mobj,IM2,0.0003404443745913709
mobj,target valid,1.0
mobj,continuous proximity,0.09634227625031094
mobj,causal validity,0.4240506329113924
mobj,IM1,0.018384736131143088
mobj,IM2,0.00040356927284690875
mobj,target valid,1.0
mobj,continuous proximity,0.09646105104803061
mobj,causal validity,0.42138364779874216
mobj,IM1,0.018010508096961784
mobj,IM2,0.00043300035046355695
mobj,target valid,1.0
mobj,continuous proximity,0.09643299660505497
mobj,causal validity,0.425
mobj,IM1,0.01687718915008107
mobj,IM2,0.00040523823519407796
mobj,target valid,1.0
mobj,continuous proximity,0.09652693927997207
mobj,causal validity,0.422360248447205
mobj,IM1,0.014052955182765035
mobj,IM2,0.0004138178350323437
mobj,target valid,1.0
mobj,continuous proximity,0.09662514303043951
mobj,causal validity,0.42592592592592593
mobj,IM1,0.013103103236591628
mobj,IM2,0.00021770104727703658
mobj,target valid,1.0
mobj,continuous proximity,0.09685737066808822
mobj,causal validity,0.4294478527607362
mobj,IM1,0.017928217640784193
mobj,IM2,0.00033308599448462274
mobj,target valid,1.0
mobj,continuous proximity,0.09703053501394296
mobj,causal validity,0.4268292682926829
mobj,IM1,0.013451886226074251
mobj,IM2,0.00039458354620307176
mobj,target valid,1.0
mobj,continuous proximity,0.09691823268986882
mobj,causal validity,0.42424242424242425
mobj,IM1,0.013872391950491563
mobj,IM2,0.00029789901799220074
mobj,target valid,1.0
mobj,continuous proximity,0.09679582857413216
mobj,causal validity,0.42168674698795183
mobj,IM1,0.0151894670851065
mobj,IM2,0.00029064761406470154
mobj,target valid,1.0
